# Definitions for attributes:
# - internal name: used as 
#   a) for GC caches this is the ID with which it is found in c:geo
#   b) name of string, prefixed with "attribute_"
#   c) name of icon, prefixed with "attribute_"
# - gcid: id used in groundspeak GPX files
# - ocid: opencaching id
# - man: graphic is selfmade or overhauled
# - license: type of license
# - copyright holder: Name of person
# - URL: icon is based on graphic downloadable here
#
# No blank lines! Use # for comments
# No reordering! This will mess up the scripts checking for missing localized strings
#
# internal name   | gcid | ocid | man | license | copyright holder | URL
ticks             |  19  |  14  |  x  | PD      | koem                      | selfmade
mine              |  20  |  15  |     | PD      | USA National Park Service | http://thenounproject.com/noun/rock-collecting/#icon-No528
cliff             |  21  |  11  |     | PD      | USA National Park Service | http://thenounproject.com/noun/falling-rocks/#icon-No520
hunting           |  22  |  12  |  x  | PD      | koem                      | selfmade
danger            |  23  |   9  |  x  | PD      | ryanlerch                 | http://www.openclipart.org/detail/1448/skull-and-crossbones-by-ryanlerch
thorn             |  39  |  13  |  x  | PD      | emilie.rollandin          | http://www.openclipart.org/detail/68125/spine-by-emilie.rollandin
wheelchair        |  24  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/wheelchair-accessible/#icon-No354
parking           |  25  |  18  |     | PD      | Roger Cook, Don Shanosky  | http://thenounproject.com/noun/parking/#icon-No27
public            |  26  |  19  |     | PD      | Roger Cook, Don Shanosky  | http://thenounproject.com/noun/bus/#icon-No97
water             |  27  |  20  |     | PD      | USA National Park Service | http://thenounproject.com/noun/drinking-water/#icon-No214
restrooms         |  28  |  21  |     | PD      | Roger Cook, Don Shanosky  | http://thenounproject.com/noun/unisex/#icon-No50
phone             |  29  |  22  |     | PD      |                           | http://thenounproject.com/noun/telephone/#icon-No127
picnic            |  30  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/picnic-table/#icon-No208
camping           |  31  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/campground/#icon-No209
stroller          |  41  |      |     | PD      | USA National Park Service | http://thenounproject.com/noun/stroller/#icon-No161
fuel              |  58  |      |     | PD      |                           | http://thenounproject.com/noun/gas/#icon-No155
food              |  59  |      |     | PD      | Roger Cook, Don Shanosky  | http://thenounproject.com/noun/restaurant/#icon-No33
oc_only           |      |   6  |  x  | PD      | koem                      | selfmade
link_only         |      |   7  |  x  | PD      | koem                      | selfmade
letterbox         |      |   8  |     | CC0     |                           | http://thenounproject.com/noun/post-office/#icon-No2404
railway           |      |  10  |     | CC0     |                           | http://thenounproject.com/noun/train/#icon-No4420
syringe           |      |  23  |     | CC0     | Betovarg Jabib            | http://thenounproject.com/noun/syringe/#icon-No1508
swamp             |      |  26  |  x  | CC0     | Megan Strickland          | http://thenounproject.com/noun/hand/#icon-No1477
hills             |      |  27  |  x  | PD      | koem                      | selfmade
easy_climbing     |      |  28  |  x  | PD      | USA National Park Service | http://thenounproject.com/noun/climbing/#icon-No526
poi               |      |  30  |     | PD      |                           | http://thenounproject.com/noun/point-of-interest/#icon-No522
moving_target     |      |  31  |  x  | PD      |                           | http://thenounproject.com/noun/running/#icon-No246
webcam            |      |  32  |     | PD      |                           | http://thenounproject.com/noun/video-camera/#icon-No637
inside            |      |  33  |  x  | PD      | koem                      | selfmade
in_water          |      |  34  |  x  | PD      | koem                      | selfmade
no_gps            |      |  35  |  x  | PD      | koem                      | selfmade
overnight         |      |  37  |  x  | PD      | koem                      | selfmade
specific_times    |      |  39  |  x  | CC0     | The Noun Project          | http://thenounproject.com/noun/clock/#icon-No2306
day               |      |  40  |  x  | PD      |                           | http://thenounproject.com/noun/sun/#icon-No76
tide              |      |  41  |     | CC0     | United Nations UCHA       | http://thenounproject.com/noun/storm-surge/#icon-No4248
all_seasons       |      |  42  |  x  | PD      | koem                      | selfmade
breeding          |      |  43  |  x  | PD      | koem                      | selfmade
snow_proof        |      |  44  |  x  | PD      | USA National Park Service | http://thenounproject.com/noun/snow/#icon-No64
compass           |      |  47  |  x  | CC0     | James Keuning             | http://thenounproject.com/noun/compass/#icon-No9699
cave              |      |  50  |     | PD      |                           | http://thenounproject.com/noun/cave/#icon-No3827
aircraft          |      |  53  |     | CC0     | United Nations UCHA       | http://thenounproject.com/noun/helicopter/#icon-No4415
investigation     |      |  54  |  x  | CC0     | Timur Carpeev             | http://thenounproject.com/noun/magnifying-glass/#icon-No5386
puzzle            |      |  55  |  x  | PD      | nicubunu                  | http://www.openclipart.org/detail/15169/red-jigsaw-piece-13-by-nicubunu
arithmetic        |      |  56  |  x  | PD      | koem                      | selfmade
other_cache       |      |  57  |  x  | PD      | koem                      | selfmade
ask_owner         |      |  58  |  x  | PD      | koem                      | selfmade
#
unknown           |  -1  |  -1  |  x  | PD      | koem                      | selfmade
geotour           |  67  |      |     | CC0     | James Keuning             | http://thenounproject.com/noun/suitcase/#icon-No9097

